name,position,team,ecr_1qb,ecr_2qb,value_1qb,value_2qb,source_date
Will Shipley,RB,PHI,316.8,281.8,6,14,2026-08-14
CJ Daniels,WR,LAR,317.5,289.9,6,12,2026-08-14
Luke McCaffrey,WR,WAS,319.1,292.5,6,11,2026-08-14
Joe Milton III,QB,DAL,319.9,238.3,6,39,2026-08-14
Justice Hill,RB,BAL,323.3,287.4,5,12,2026-08-14
Spencer Rattler,QB,NO,323.5,342.7,5,3,2026-08-14
Michael Trigg,TE,DAL,325,291.8,5,11,2026-08-14
Tanner Koziol,TE,JAC,325.4,294.5,5,10,2026-08-14
Calvin Austin III,WR,NYG,325.4,295.1,5,10,2026-08-14
Tanner McKee,QB,PHI,326.1,336,5,4,2026-08-14
Riley Leonard,QB,IND,329.8,341,5,3,2026-08-14
Konata Mumpfield,WR,LAR,330.6,299.4,4,9,2026-08-14
Joe Flacco,QB,CIN,331.1,344.7,4,3,2026-08-14
Audric Estime,RB,NO,331.4,292.6,4,11,2026-08-14
Malik Benson,WR,LV,332.1,302,4,9,2026-08-14
Roman Hemby,RB,LV,334.8,293.7,4,11,2026-08-14
Joe Mixon,RB,FA,334.8,300.4,4,9,2026-08-14
J'Mari Taylor,RB,JAC,335.1,298.5,4,9,2026-08-14
Jaylin Lane,WR,WAS,335.6,304.3,4,8,2026-08-14
Charlie Kolar,TE,LAC,339.9,309.4,4,7,2026-08-14
Zavion Thomas,WR,CHI,340,303,4,8,2026-08-14
Mitchell Evans,TE,CAR,341,312,3,7,2026-08-14
John Metchie III,WR,CAR,341.8,307.6,3,8,2026-08-14
Jack Endries,TE,CIN,341.9,308.9,3,7,2026-08-14
Dont'e Thornton Jr.,WR,LV,342.9,309.4,3,7,2026-08-14
Noah Gray,TE,KC,344.1,307.8,3,8,2026-08-14
Jaleel McLaughlin,RB,DEN,344.4,303.3,3,8,2026-08-14
Dawson Knox,TE,BUF,345,313.8,3,7,2026-08-14
Emari Demercado,RB,KC,346.1,308.2,3,8,2026-08-14
Tyler Higbee,TE,LAR,346.2,310.1,3,7,2026-08-14
Luke Musgrave,TE,GB,346.3,324.8,3,5,2026-08-14
Erick All Jr.,TE,CIN,347,314,3,7,2026-08-14
Noah Fant,TE,NO,347.9,312.3,3,7,2026-08-14
Elijah Higgins,TE,ARI,348.7,345.6,3,3,2026-08-14
Dillon Gabriel,QB,CLE,349,345.9,3,3,2026-08-14
Jordan Whittington,WR,LAR,349.1,318.3,3,6,2026-08-14
Deion Burks,WR,IND,349.1,312.5,3,7,2026-08-14
Joe Royer,TE,CLE,349.1,332.9,3,4,2026-08-14
Kareem Hunt,RB,FA,349.4,326.9,3,5,2026-08-14
Tutu Atwell,WR,MIA,351.2,320.3,3,6,2026-08-14
Ty Johnson,RB,BUF,351.4,337.8,3,4,2026-08-14
Samaje Perine,RB,CIN,351.5,318,3,6,2026-08-14
Jonnu Smith,TE,FA,352.1,338.2,3,4,2026-08-14
Treylon Burks,WR,WAS,352.3,330.5,3,4,2026-08-14
Will Levis,QB,TEN,352.4,349.3,3,3,2026-08-14
Savion Williams,WR,GB,352.9,310.9,3,7,2026-08-14
Davis Mills,QB,HOU,353.1,337,3,4,2026-08-14
Mack Hollins,WR,NE,353.3,330,3,5,2026-08-14
Trey Lance,QB,LAC,353.6,350.5,3,3,2026-08-14
Jam Miller,RB,NE,354.2,328.8,3,5,2026-08-14
Zach Ertz,TE,FA,354.7,333.5,3,4,2026-08-14
