name,team,position,rank,projection,proj_3yr,trade_value,source_date
C Brown,CIN,RB,58.0,268.0,496.0,33.0,2026-08-18
C Ward,TEN,QB,59.0,267.0,797.0,32.0,2026-08-18
S Darnold,SEA,QB,60.0,264.0,821.0,32.0,2026-08-18
J Jacobs,GB,RB,61.0,256.0,530.0,32.0,2026-08-18
D Smith,PHI,WR,62.0,242.0,634.0,31.0,2026-08-18
L Burden III,CHI,WR,63.0,223.0,606.0,31.0,2026-08-18
A Brown,NE,WR,64.0,272.0,637.0,31.0,2026-08-18
B Irving,TB,RB,65.0,212.0,482.0,31.0,2026-08-18
J Waddle,DEN,WR,66.0,235.0,637.0,30.0,2026-08-18
J Williams,DET,WR,67.0,210.0,631.0,30.0,2026-08-18
M Lemon,PHI,WR,68.0,169.0,615.0,30.0,2026-08-18
K Williams,LAR,RB,69.0,235.0,463.0,30.0,2026-08-18
T Warren,IND,TE,70.0,224.0,592.0,28.0,2026-08-18
H Fannin Jr.,CLE,TE,71.0,197.0,554.0,28.0,2026-08-18
J Tyson,NO,WR,72.0,145.0,596.0,28.0,2026-08-18
M Willis,MIA,QB,73.0,279.0,826.0,28.0,2026-08-18
B Young,CAR,QB,74.0,250.0,770.0,27.0,2026-08-18
R Odunze,CHI,WR,75.0,206.0,598.0,27.0,2026-08-18
M Stafford,LAR,QB,76.0,302.0,852.0,26.0,2026-08-18
D Jones,IND,QB,77.0,281.0,744.0,26.0,2026-08-18
J Price,SEA,RB,78.0,174.0,458.0,25.0,2026-08-18
T Kraft,GB,TE,79.0,196.0,564.0,24.0,2026-08-18
C Watson,GB,WR,80.0,226.0,592.0,23.0,2026-08-18
T Simpson,LAR,QB,81.0,30.0,752.0,23.0,2026-08-18
K Concepcion,CLE,WR,82.0,176.0,533.0,21.0,2026-08-18
D Henry,BAL,RB,83.0,264.0,412.0,21.0,2026-08-18
C Skattebo,NYG,RB,84.0,227.0,394.0,21.0,2026-08-18
T McLaurin,WAS,WR,85.0,219.0,571.0,20.0,2026-08-18
B Thomas Jr.,JAX,WR,86.0,189.0,532.0,20.0,2026-08-18
J Williams,DAL,RB,87.0,242.0,412.0,20.0,2026-08-18
J Addison,MIN,WR,88.0,196.0,535.0,20.0,2026-08-18
K Pitts,ATL,TE,89.0,186.0,499.0,19.0,2026-08-18
T Tagovailoa,ATL,QB,90.0,115.0,692.0,19.0,2026-08-18
T Etienne,NO,RB,91.0,231.0,435.0,19.0,2026-08-18
S Sanders,CLE,QB,92.0,110.0,631.0,19.0,2026-08-18
M Harrison Jr.,ARI,WR,93.0,196.0,515.0,19.0,2026-08-18
P Washington,JAX,WR,94.0,211.0,515.0,19.0,2026-08-18
D Moore,BUF,WR,95.0,209.0,544.0,18.0,2026-08-18
D Metcalf,PIT,WR,96.0,207.0,534.0,18.0,2026-08-18
M Wilson,ARI,WR,97.0,178.0,547.0,18.0,2026-08-18
