name,team,position,rank,projection,proj_3yr,trade_value,source_date
J Herbert,LAC,QB,63.0,326.0,926.0,25.0,2026-08-18
D Metcalf,PIT,WR,64.0,138.0,366.0,25.0,2026-08-18
P Mahomes,KC,QB,65.0,309.0,933.0,24.0,2026-08-18
J Addison,MIN,WR,66.0,128.0,356.0,24.0,2026-08-18
T McLaurin,WAS,WR,67.0,144.0,375.0,24.0,2026-08-18
M Harrison Jr.,ARI,WR,68.0,132.0,348.0,24.0,2026-08-18
K Pitts,ATL,TE,69.0,111.0,321.0,24.0,2026-08-18
J Hurts,PHI,QB,70.0,331.0,960.0,23.0,2026-08-18
M Evans,SF,WR,71.0,148.0,375.0,22.0,2026-08-18
D Moore,BUF,WR,72.0,138.0,358.0,22.0,2026-08-18
S LaPorta,DET,TE,73.0,124.0,308.0,22.0,2026-08-18
C Skattebo,NYG,RB,74.0,181.0,321.0,22.0,2026-08-18
J Williams,DAL,RB,75.0,205.0,340.0,22.0,2026-08-18
C Sutton,DEN,WR,76.0,131.0,358.0,21.0,2026-08-18
A Pierce,IND,WR,77.0,114.0,353.0,21.0,2026-08-18
T Lawrence,JAX,QB,78.0,329.0,884.0,21.0,2026-08-18
X Worthy,KC,WR,79.0,122.0,330.0,20.0,2026-08-18
P Washington,JAX,WR,80.0,138.0,328.0,20.0,2026-08-18
M Wilson,ARI,WR,81.0,111.0,351.0,20.0,2026-08-18
D Boston,CLE,WR,82.0,95.0,333.0,20.0,2026-08-18
D Adams,LAR,WR,83.0,156.0,362.0,19.0,2026-08-18
J Higgins,HOU,WR,84.0,111.0,326.0,19.0,2026-08-18
T Etienne,NO,RB,85.0,190.0,350.0,19.0,2026-08-18
M Golden,GB,WR,86.0,108.0,318.0,19.0,2026-08-18
K Sadiq,NYJ,TE,87.0,84.0,267.0,19.0,2026-08-18
D Stribling,SF,WR,88.0,92.0,328.0,18.0,2026-08-18
Q Johnston,LAC,WR,89.0,127.0,312.0,18.0,2026-08-18
M Pittman Jr.,PIT,WR,90.0,120.0,326.0,18.0,2026-08-18
B Purdy,SF,QB,91.0,327.0,858.0,17.0,2026-08-18
B Tuten,JAX,RB,92.0,157.0,279.0,16.0,2026-08-18
J Dart,NYG,QB,93.0,319.0,830.0,16.0,2026-08-18
J Reed,GB,WR,94.0,131.0,315.0,16.0,2026-08-18
R Doubs,NE,WR,95.0,117.0,308.0,16.0,2026-08-18
D Montgomery,HOU,RB,96.0,180.0,275.0,16.0,2026-08-18
O Gadsden II,LAC,TE,97.0,81.0,254.0,16.0,2026-08-18
B Nix,DEN,QB,98.0,312.0,863.0,15.0,2026-08-18
D Swift,CHI,RB,99.0,190.0,316.0,15.0,2026-08-18
J Meyers,JAX,WR,100.0,119.0,334.0,15.0,2026-08-18
E Stowers,PHI,TE,101.0,43.0,262.0,15.0,2026-08-18
D Kincaid,BUF,TE,102.0,100.0,259.0,15.0,2026-08-18
P Bryant,DEN,WR,103.0,78.0,303.0,15.0,2026-08-18
G Kittle,SF,TE,104.0,112.0,282.0,15.0,2026-08-18
J Ferguson,DAL,TE,105.0,93.0,273.0,15.0,2026-08-18
O Cooper Jr.,NYJ,WR,106.0,84.0,302.0,15.0,2026-08-18
J Lane,BAL,WR,107.0,73.0,299.0,15.0,2026-08-18
R Shaheed,SEA,WR,108.0,106.0,308.0,14.0,2026-08-18
J Croskey-Merritt,WAS,RB,109.0,137.0,277.0,14.0,2026-08-18
K Monangai,CHI,RB,110.0,129.0,276.0,14.0,2026-08-18
B Corum,LAR,RB,111.0,129.0,298.0,14.0,2026-08-18
C Godwin,TB,WR,112.0,113.0,317.0,14.0,2026-08-18
R Stevenson,NE,RB,113.0,162.0,281.0,14.0,2026-08-18
J Mason,MIN,RB,114.0,147.0,288.0,14.0,2026-08-18
C Douglas,MIA,WR,115.0,74.0,295.0,14.0,2026-08-18
J Brooks,CAR,RB,116.0,143.0,275.0,14.0,2026-08-18
K Shakir,BUF,WR,117.0,100.0,300.0,14.0,2026-08-18
I Likely,NYG,TE,118.0,97.0,246.0,13.0,2026-08-18
A Williams,WAS,WR,119.0,47.0,299.0,13.0,2026-08-18
J McMillan,TB,WR,120.0,100.0,295.0,13.0,2026-08-18
D Prescott,DAL,QB,121.0,325.0,863.0,13.0,2026-08-18
M Andrews,BAL,TE,122.0,103.0,240.0,13.0,2026-08-18
G Bernard,PIT,WR,123.0,72.0,292.0,13.0,2026-08-18
R Pearsall,SF,WR,124.0,0.0,330.0,13.0,2026-08-18
J Coker,CAR,WR,125.0,95.0,284.0,12.0,2026-08-18
J Johnson,NO,TE,126.0,93.0,253.0,12.0,2026-08-18
M Mayer,LV,TE,127.0,53.0,243.0,12.0,2026-08-18
T Ferguson,LAR,TE,128.0,77.0,227.0,12.0,2026-08-18
T Pollard,TEN,RB,129.0,151.0,282.0,12.0,2026-08-18
J Noel,HOU,WR,130.0,71.0,284.0,12.0,2026-08-18
T Hunter,JAX,WR,131.0,59.0,283.0,12.0,2026-08-18
B Strange,JAX,TE,132.0,96.0,231.0,12.0,2026-08-18
J Love,GB,QB,133.0,296.0,869.0,11.0,2026-08-18
